epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.669,1.47671,1.96005,1.42006,0.42009,0.38515,0.34964,0.17353,1.71689,2.35506,1.77779,0.000665127,0.000665127,0.000665127
2,242.699,1.5866,1.48099,1.51995,0.79871,0.65969,0.74534,0.38103,1.70804,1.41903,1.57776,0.00128784,0.00128784,0.00128784
3,358.588,1.56611,1.35434,1.52371,0.69299,0.61781,0.68583,0.36126,1.65045,1.40868,1.5943,0.00186656,0.00186656,0.00186656
4,475.714,1.53014,1.27256,1.48625,0.82027,0.72799,0.78912,0.442,1.50392,1.19048,1.46995,0.001802,0.001802,0.001802
5,591.58,1.477,1.183,1.45572,0.82669,0.81259,0.86257,0.49226,1.48673,0.98833,1.43154,0.001736,0.001736,0.001736
6,705.916,1.44433,1.12354,1.42978,0.8531,0.78701,0.85944,0.48555,1.46686,0.99415,1.40726,0.00167,0.00167,0.00167
7,820.342,1.39726,1.04908,1.39772,0.84205,0.81112,0.87686,0.51632,1.39571,0.8819,1.37582,0.001604,0.001604,0.001604
8,935.084,1.36083,0.99867,1.37196,0.89721,0.85981,0.9114,0.54634,1.35648,0.83504,1.34754,0.001538,0.001538,0.001538
9,1049.58,1.34449,0.96627,1.36441,0.90852,0.87998,0.92385,0.56779,1.32283,0.77139,1.32767,0.001472,0.001472,0.001472
10,1164.48,1.31588,0.9379,1.34933,0.88618,0.84555,0.90626,0.55525,1.3582,0.78501,1.34931,0.001406,0.001406,0.001406
11,1278.45,1.30043,0.8938,1.33252,0.91706,0.89129,0.92991,0.58113,1.31661,0.72407,1.30364,0.00134,0.00134,0.00134
12,1393.66,1.29429,0.87953,1.32688,0.90268,0.88057,0.92749,0.58075,1.29558,0.73021,1.2992,0.001274,0.001274,0.001274
13,1506.02,1.27002,0.8514,1.31227,0.91356,0.91146,0.94256,0.59942,1.2817,0.6807,1.27108,0.001208,0.001208,0.001208
14,1620.24,1.23832,0.83579,1.29946,0.91891,0.90297,0.94306,0.60231,1.25816,0.67816,1.26795,0.001142,0.001142,0.001142
15,1733.94,1.24248,0.81561,1.29528,0.92142,0.91706,0.94025,0.60958,1.25291,0.65453,1.27682,0.001076,0.001076,0.001076
16,1848.88,1.22517,0.79913,1.28456,0.92134,0.91638,0.94671,0.61248,1.24474,0.6394,1.25556,0.00101,0.00101,0.00101
17,1962.74,1.22079,0.78086,1.28381,0.92391,0.9272,0.94991,0.62738,1.21598,0.62756,1.24537,0.000944,0.000944,0.000944
18,2077.37,1.19828,0.76532,1.27188,0.93005,0.92867,0.95391,0.62644,1.2037,0.61222,1.23365,0.000878,0.000878,0.000878
19,2191.04,1.18954,0.74906,1.25925,0.9283,0.92985,0.95193,0.6286,1.20039,0.60066,1.23364,0.000812,0.000812,0.000812
20,2307.34,1.16383,0.73185,1.24802,0.93673,0.93213,0.95797,0.63525,1.17989,0.59825,1.21277,0.000746,0.000746,0.000746
21,2415.63,1.12905,0.58801,1.21648,0.932,0.94147,0.95889,0.6373,1.18223,0.59534,1.22051,0.00068,0.00068,0.00068
22,2521.5,1.10111,0.56453,1.2043,0.93485,0.93999,0.95704,0.64579,1.16631,0.57212,1.20568,0.000614,0.000614,0.000614
23,2627.54,1.08453,0.54845,1.19099,0.93668,0.95327,0.96192,0.65279,1.14805,0.55694,1.18866,0.000548,0.000548,0.000548
24,2732.88,1.06974,0.5396,1.18426,0.93365,0.94835,0.95911,0.65609,1.13601,0.55144,1.19519,0.000482,0.000482,0.000482
25,2839.4,1.05012,0.52042,1.16797,0.94422,0.9492,0.96412,0.66483,1.11358,0.53597,1.18152,0.000416,0.000416,0.000416
26,2946.05,1.03523,0.50421,1.15969,0.94186,0.94983,0.96432,0.66888,1.11634,0.52934,1.17712,0.00035,0.00035,0.00035
27,3054.3,1.02431,0.49885,1.15028,0.94969,0.95278,0.9651,0.66955,1.10444,0.51798,1.17327,0.000284,0.000284,0.000284
28,3162.47,1.00732,0.48605,1.14445,0.9474,0.95081,0.96603,0.67768,1.09171,0.51318,1.16801,0.000218,0.000218,0.000218
29,3270.61,1.00224,0.47203,1.13628,0.95015,0.95425,0.96689,0.6781,1.08396,0.50575,1.15532,0.000152,0.000152,0.000152
30,3378.58,0.98376,0.46482,1.12369,0.94723,0.95362,0.96771,0.6806,1.08083,0.5032,1.15291,8.6e-05,8.6e-05,8.6e-05
